tail,head,onset,terminus,onset.censored,terminus.censored,duration,edge.id
1,2,10,80,FALSE,FALSE,70,1
2,3,20,80,FALSE,FALSE,60,2
2,4,20,80,FALSE,FALSE,60,3
3,5,30,80,FALSE,FALSE,50,4
5,6,40,80,FALSE,FALSE,40,5
3,6,40,80,FALSE,FALSE,40,6
6,7,50,80,FALSE,FALSE,30,7
6,8,50,80,FALSE,FALSE,30,8
6,9,50,80,FALSE,FALSE,30,9
6,10,50,80,FALSE,FALSE,30,10
6,11,50,80,FALSE,FALSE,30,11
6,12,50,80,FALSE,FALSE,30,12
12,13,60,80,FALSE,FALSE,20,13
6,14,50,80,FALSE,FALSE,30,14
6,15,50,80,FALSE,FALSE,30,15
6,16,50,80,FALSE,FALSE,30,16
6,17,50,80,FALSE,FALSE,30,17
6,18,50,80,FALSE,FALSE,30,18
4,19,70,80,FALSE,FALSE,10,19
5,9,40,80,FALSE,FALSE,40,20
4,20,70,80,FALSE,FALSE,10,21
4,21,70,80,FALSE,FALSE,10,22
4,22,70,80,FALSE,FALSE,10,23
5,23,70,80,FALSE,FALSE,10,24
5,24,70,80,FALSE,FALSE,10,25
5,25,70,80,FALSE,FALSE,10,26
5,26,70,80,FALSE,FALSE,10,27
5,27,70,80,FALSE,FALSE,10,28
5,28,70,80,FALSE,FALSE,10,29
5,29,70,80,FALSE,FALSE,10,30
5,30,70,80,FALSE,FALSE,10,31
5,31,70,80,FALSE,FALSE,10,32
5,32,70,80,FALSE,FALSE,10,33
5,33,70,80,FALSE,FALSE,10,34
6,23,70,80,FALSE,FALSE,10,35
6,24,70,80,FALSE,FALSE,10,36
6,25,70,80,FALSE,FALSE,10,37
6,26,70,80,FALSE,FALSE,10,38
6,27,70,80,FALSE,FALSE,10,39
6,28,70,80,FALSE,FALSE,10,40
6,29,70,80,FALSE,FALSE,10,41
6,30,70,80,FALSE,FALSE,10,42
6,31,70,80,FALSE,FALSE,10,43
6,32,70,80,FALSE,FALSE,10,44
6,33,70,80,FALSE,FALSE,10,45
